Rank,,Player,Total
1,-,Scottie Scheffler,75
2,-,Matt Fitzpatrick,23
2,-,Hideki Matsuyama,23
4,-,Si Woo Kim,19
5,-,Cameron Young,16
6,-,John Parry,15
7,-,Ryo Hisatsune,14
8,1,Rory McIlroy,13
9,-,Jordan Spieth,12
10,1,Alex Smalley,11
11,-,Corey Conners,10
11,-,Brian Harman,10
11,-,Alex Noren,10
11,-,Xander Schauffele,10
15,-,Ludvig Åberg,9
16,-,Bud Cauley,8
16,-,Chris Gotterup,8
16,7,Rico Hoey,8
16,-,Mikumu Horikawa,8
16,-,Maverick McNealy,8
16,-,Sam Stevens,8
16,-,Matt Wallace,8
23,-,Sam Burns,7
23,-,SSP Chawrasia,7
23,-,Jason Day,7
23,-,Ben Griffin,7
23,-,Jon Rahm,7
23,-,Justin Thomas,7
29,3,Patrick Cantlay,6
29,3,Paul Casey,6
29,3,Harris English,6
29,3,Ryan Gerard,6
29,15,Tom Hoge,6
29,15,Rasmus Højgaard,6
29,3,Kurt Kitayama,6
29,3,Tae Hee Lee,6
29,3,Kristoffer Reitan,6
29,3,Nick Taylor,6
29,3,Doug Tewell,6
29,3,Sahith Theegala,6
41,3,Gaganjeet Bhullar,5
41,14,Blades Brown,5
41,3,Brian Campbell,5
41,14,Luke Clanton,5
41,14,Eric Cole,5
41,14,Austin Eckroat,5
41,3,Wayne Levi,5
41,14,Mac Meissner,5
41,3,Andrew Novak,5
41,3,Wade Ormsby,5
41,3,Pat Perez,5
41,3,Tag Ridings,5
41,3,Justin Rose,5
41,3,Marcel Siem,5
41,14,Erik van Rooyen,5
,,tour average,4
56,1,Byeong Hun An,4
56,26,Zach Bauchou,4
56,1,Daniel Berger,4
56,1,Fred Biondi,4
56,1,Jorge Campillo,4
56,1,Alex Fitzpatrick,4
56,1,Martin Flores,4
56,1,Rickie Fowler,4
56,1,Ryan Fox,4
56,26,Doug Ghim,4
56,26,Max Greyserman,4
56,1,Nicolai Højgaard,4
56,1,Michael Kim,4
56,1,Jackson Koivun,4
56,26,Hank Lebioda,4
56,1,Min Woo Lee,4
56,1,Marc Leishman,4
56,1,Denny McCarthy,4
56,26,Keith Mitchell,4
56,26,Taylor Moore,4
56,1,Collin Morikawa,4
56,26,Taylor Pendrith,4
56,1,Cameron Percy,4
56,1,Aldrich Potgieter,4
56,1,Aaron Rai,4
56,1,JC Ritchie,4
56,1,Poom Saksansin,4
56,26,Adam Svensson,4
84,2,Tyson Alexander,3
84,2,Abraham Ancer,3
84,2,Stuart Appleby,3
84,43,Yongjun Bae,3
84,2,Mark Baldwin,3
84,2,Harrison Endycott,3
84,2,Patrick Flavin,3
84,2,Oscar Fraustro,3
84,2,Sergio Garcia,3
84,43,Lanto Griffin,3
84,2,Bob Heintz,3
84,2,Kramer Hickok,3
84,2,Charles Howell III,3
84,2,Casey Jarvis,3
84,2,Dustin Johnson,3
84,43,Johnny Keefer,3
84,2,Nathan Kimsey,3
84,2,Jake Knapp,3
84,43,Brooks Koepka,3
84,2,Alexander Levy,3
84,43,Justin Lower,3
84,2,Richard Mansell,3
84,2,Francesco Molinari,3
84,2,Ryutaro Nagano,3
84,43,Thorbjørn Olesen,3
84,2,Tomoharu Otsuki,3
84,2,John Pak,3
84,2,Carl Paulson,3
84,43,Seamus Power,3
84,2,Andrew Putnam,3
84,2,Doc Redman,3
84,2,Bob Shearer,3
84,2,Conrad Shindler,3
84,2,Andre Stolz,3
84,2,David Sutherland,3
84,2,Callum Tarren,3
84,2,Brendan Valdes,3
84,2,Harold Varner III,3
84,2,Ren Yonezawa,3
123,4,Mark Anderson,2
123,4,Bobby Bai,2
123,4,Wil Bateman,2
123,4,Sam Bennett,2
123,4,Lucas Bjerregaard,2
123,-,Zac Blair,2
123,-,Dan Brown,2
123,4,Bronson Burgoon,2
123,4,Ivan Cantero Gutierrez,2
123,4,Ben Carr,2
123,4,Martin Contini,2
123,4,Ugo Coussaud,2
123,4,Santiago de la Fuente,2
123,4,Rhys Enoch,2
123,-,Tony Finau,2
123,-,Patrick Fishburn,2
123,4,Grant Forrest,2
123,4,Nicolo Galletti,2
123,4,Brian Gay,2
123,4,David Gilford,2
123,4,Ian Gilligan,2
123,4,Joel Girrbach,2
123,4,Mike Grob,2
123,4,Tom Hearn,2
123,-,Kensei Hirata,2
123,4,Grant Hirschman,2
123,4,Scott Hoch,2
123,4,David Howell,2
123,-,Mark Hubbard,2
123,-,Mackenzie Hughes,2
123,4,Theo Humphrey,2
123,4,Ryo Ishikawa,2
123,-,Stephan Jaeger,2
123,4,Riki Kawamoto,2
123,4,Brad Kennedy,2
123,4,Phachara Khongwatmai,2
123,-,Chan Kim,2
123,4,Hanbyeol Kim,2
123,-,Tom Kim,2
123,-,Chris Kirk,2
123,4,Satoshi Kodaira,2
123,4,Mikko Korhonen,2
123,4,Jacques Kruyswijk,2
123,4,Romain Langasque,2
123,4,Steve Lewton,2
123,4,Shane Lowry,2
123,-,Peter Malnati,2
123,4,Billy Mayfair,2
123,4,Ross McGowan,2
123,4,Blake McShea,2
123,-,Troy Merritt,2
123,4,Naoto Nakanishi,2
123,-,Rasmus Neergaard-Petersen,2
123,4,Lukas Nemecz,2
123,4,Niklas Norgaard,2
123,4,Jacob Skov Olesen,2
123,4,Craig Parry,2
123,4,Turk Pettit,2
123,4,David Puig,2
123,4,Alvaro Quiros,2
123,4,Patrick Reed,2
123,4,Matthew Riedel,2
123,4,Max Rottluff,2
123,4,Antoine Rozner,2
123,-,Sam Ryder,2
123,4,John Schroeder,2
123,4,Charl Schwartzel,2
123,4,Sanghun Shin,2
123,4,Callum Shinkwin,2
123,-,Neal Shipley,2
123,4,Bob Smith,2
123,4,Sebastian Soderberg,2
123,4,Jacob Solomon,2
123,4,Ross Steelman,2
123,4,Brett Stegmaier,2
123,-,Jackson Suber,2
123,4,Connor Syme,2
123,-,John VanDerLaan,2
123,-,Camilo Villegas,2
123,4,Jeunghun Wang,2
123,4,Paul Waring,2
123,4,Tyler Watts,2
123,4,Lee Westwood,2
123,4,Dale Whitnell,2
123,-,Danny Willett,2
