Rank,,Player,Total
1,-,Scottie Scheffler,76
2,-,Hideki Matsuyama,25
3,-,Matt Fitzpatrick,24
4,-,Si Woo Kim,20
5,-,Cameron Young,17
6,-,Ryo Hisatsune,16
7,-,Rory McIlroy,14
8,3,Ludvig Åberg,11
8,3,Corey Conners,11
8,3,Alex Noren,11
8,3,Xander Schauffele,11
12,5,Bud Cauley,9
12,5,Chris Gotterup,9
12,3,Rico Hoey,9
12,5,Maverick McNealy,9
12,5,Justin Thomas,9
17,7,Sam Burns,8
17,7,Ryan Gerard,8
17,7,Tom Hoge,8
17,-,Mikumu Horikawa,8
17,7,Sahith Theegala,8
17,-,Matt Wallace,8
23,8,Patrick Cantlay,7
23,1,SSP Chawrasia,7
23,8,Eric Cole,7
23,8,Harris English,7
23,8,Kurt Kitayama,7
23,8,Mac Meissner,7
23,1,Jon Rahm,7
23,8,Kristoffer Reitan,7
23,8,Nick Taylor,7
32,1,Paul Casey,6
32,1,Luke Clanton,6
32,1,Austin Eckroat,6
32,13,Michael Kim,6
32,1,Tae Hee Lee,6
32,13,Justin Rose,6
32,1,Doug Tewell,6
32,1,Erik van Rooyen,6
40,5,Zach Bauchou,5
40,5,Gaganjeet Bhullar,5
40,5,Blades Brown,5
40,17,Alex Fitzpatrick,5
40,17,Ryan Fox,5
40,5,Doug Ghim,5
40,5,Wayne Levi,5
40,17,Denny McCarthy,5
40,5,Taylor Moore,5
40,5,Wade Ormsby,5
40,17,Taylor Pendrith,5
40,5,Pat Perez,5
40,17,Aaron Rai,5
40,5,Tag Ridings,5
40,5,Marcel Siem,5
,,tour average,4
55,2,Byeong Hun An,4
55,2,Fred Biondi,4
55,2,Jorge Campillo,4
55,2,Martin Flores,4
55,2,Lanto Griffin,4
55,2,Johnny Keefer,4
55,2,Jackson Koivun,4
55,2,Marc Leishman,4
55,2,Collin Morikawa,4
55,2,Thorbjørn Olesen,4
55,2,Cameron Percy,4
55,2,Aldrich Potgieter,4
55,2,Seamus Power,4
55,2,Andrew Putnam,4
55,2,JC Ritchie,4
55,2,Poom Saksansin,4
71,10,Tyson Alexander,3
71,10,Abraham Ancer,3
71,10,Stuart Appleby,3
71,10,Yongjun Bae,3
71,10,Mark Baldwin,3
71,10,Harrison Endycott,3
71,10,Patrick Fishburn,3
71,10,Patrick Flavin,3
71,10,Oscar Fraustro,3
71,10,Sergio Garcia,3
71,10,Bob Heintz,3
71,10,Kramer Hickok,3
71,10,Charles Howell III,3
71,10,Mackenzie Hughes,3
71,10,Casey Jarvis,3
71,10,Dustin Johnson,3
71,10,Tom Kim,3
71,10,Nathan Kimsey,3
71,10,Jake Knapp,3
71,10,Brooks Koepka,3
71,10,Alexander Levy,3
71,10,Justin Lower,3
71,50,Shane Lowry,3
71,10,Richard Mansell,3
71,10,Francesco Molinari,3
71,10,Ryutaro Nagano,3
71,10,Rasmus Neergaard-Petersen,3
71,10,Tomoharu Otsuki,3
71,10,John Pak,3
71,10,Carl Paulson,3
71,10,Doc Redman,3
71,50,Patrick Rodgers,3
71,10,Bob Shearer,3
71,10,Conrad Shindler,3
71,10,Andre Stolz,3
71,10,Jackson Suber,3
71,10,David Sutherland,3
71,10,Callum Tarren,3
71,10,Brendan Valdes,3
71,10,Harold Varner III,3
71,10,Ren Yonezawa,3
112,9,Mark Anderson,2
112,9,Bobby Bai,2
112,9,Wil Bateman,2
112,9,Sam Bennett,2
112,9,Lucas Bjerregaard,2
112,-,Keegan Bradley,2
112,9,Bronson Burgoon,2
112,9,Ivan Cantero Gutierrez,2
112,9,Ben Carr,2
112,-,Wyndham Clark,2
112,9,Martin Contini,2
112,9,Ugo Coussaud,2
112,9,Santiago de la Fuente,2
112,-,Nico Echavarria,2
112,9,Rhys Enoch,2
112,9,A.J. Ewart,2
112,9,Steven Fisk,2
112,9,Grant Forrest,2
112,9,Nicolo Galletti,2
112,9,Brian Gay,2
112,9,David Gilford,2
112,9,Ian Gilligan,2
112,9,Joel Girrbach,2
112,-,Lucas Glover,2
112,9,Emiliano Grillo,2
112,9,Mike Grob,2
112,9,Tom Hearn,2
112,-,Russell Henley,2
112,9,Garrick Higgo,2
112,9,Grant Hirschman,2
112,9,Scott Hoch,2
112,9,David Howell,2
112,9,Theo Humphrey,2
112,9,Ryo Ishikawa,2
112,9,Jeffrey Kang,2
112,9,Riki Kawamoto,2
112,9,Brad Kennedy,2
112,9,Phachara Khongwatmai,2
112,9,Chan Kim,2
112,9,Hanbyeol Kim,2
112,9,Satoshi Kodaira,2
112,9,Mikko Korhonen,2
112,9,Jacques Kruyswijk,2
112,-,Matt Kuchar,2
112,9,Romain Langasque,2
112,9,Steve Lewton,2
112,9,Peter Malnati,2
112,9,Billy Mayfair,2
112,9,Ross McGowan,2
112,9,Blake McShea,2
112,9,Troy Merritt,2
112,9,Naoto Nakanishi,2
112,9,Lukas Nemecz,2
112,9,Niklas Norgaard,2
112,9,Jacob Skov Olesen,2
112,9,Craig Parry,2
112,9,Turk Pettit,2
112,-,J.T. Poston,2
112,9,David Puig,2
112,9,Alvaro Quiros,2
112,9,Patrick Reed,2
112,9,Matthew Riedel,2
112,9,Max Rottluff,2
112,9,Antoine Rozner,2
112,9,Adrien Saddier,2
112,9,John Schroeder,2
112,9,Charl Schwartzel,2
112,9,Sanghun Shin,2
112,9,Callum Shinkwin,2
112,9,Bob Smith,2
112,9,Jordan Smith,2
112,-,Brandt Snedeker,2
112,9,Sebastian Soderberg,2
112,9,Jacob Solomon,2
112,-,J.J. Spaun,2
112,9,Ross Steelman,2
112,9,Brett Stegmaier,2
112,9,Connor Syme,2
112,9,Jeunghun Wang,2
112,9,Paul Waring,2
112,9,Tyler Watts,2
112,9,Lee Westwood,2
112,9,Dale Whitnell,2
112,9,Danny Willett,2
112,-,Gary Woodland,2
