Player,Position,Team,Opponent,Salary,% ownership
Michael Carter,RB,ARI,SF,"$4,700",34.70%
Bucky Irving,RB,TB,NO,"$7,700",33.00%
Bijan Robinson,RB,ATL,CAR,"$8,500",32.60%
Brock Bowers,TE,LV,LAC,"$6,600",27.30%
Mike Evans,WR,TB,NO,"$8,000",27.20%
Jauan Jennings,WR,SF,@ARI,"$5,800",25.40%
Drake London,WR,ATL,CAR,"$6,500",24.00%
Trey McBride,TE,ARI,SF,"$6,500",23.90%
Jakobi Meyers,WR,LV,LAC,"$5,700",23.80%
Jaxon Smith-Njigba,WR,SEA,@LAR,"$6,100",23.70%
Will Shipley,RB,PHI,NYG,"$4,600",22.60%
Tony Pollard,RB,TEN,HOU,"$6,200",21.30%
Nikko Remigio,WR,KC,@DEN,"$3,000",17.40%
Michael Pittman Jr.,WR,IND,JAX,"$5,200",16.10%
Brian Thomas Jr.,WR,JAX,@IND,"$7,300",16.10%
Courtland Sutton,WR,DEN,KC,"$6,400",15.80%
Jonathan Taylor,RB,IND,JAX,"$8,200",15.80%
Joshua Dobbs,QB,SF,@ARI,"$4,000",15.10%
Malik Nabers,WR,NYG,@PHI,"$7,100",14.50%
Rico Dowdle,RB,DAL,WAS,"$5,800",14.50%
Isaac Guerendo,RB,SF,@ARI,"$5,900",14.30%
Josh Downs,WR,IND,JAX,"$5,300",13.90%
Davante Adams,WR,NYJ,MIA,"$7,000",13.10%
Kyler Murray,QB,ARI,SF,"$6,000",13.00%
Ladd McConkey,WR,LAC,@LV,"$6,900",12.10%
Calvin Ridley,WR,TEN,HOU,"$5,400",12.00%
Baker Mayfield,QB,TB,NO,"$7,000",11.70%
Tutu Atwell,WR,LAR,SEA,"$3,800",11.50%
DJ Moore,WR,CHI,@GB,"$5,900",10.40%
Jake Ferguson,TE,DAL,WAS,"$3,900",10.10%
Alexander Mattison,RB,LV,LAC,"$5,300",9.90%
Zach Charbonnet,RB,SEA,@LAR,"$6,700",9.80%
Marvin Harrison Jr.,WR,ARI,SF,"$5,500",9.60%
