week,Player,Salary,Roster Position,%Drafted,FPTS
6,Rico Dowdle,5800,RB,34.68%,36.9
6,Rachaad White,6000,RB,30.34%,17.6
6,Puka Nacua,8700,WR,29.84%,4.8
6,Javonte Williams,6400,RB,29.63%,8.4
6,Josh Jacobs,7300,FLEX,27.71%,32.0
6,Christian McCaffrey,8400,RB,26.82%,24.1
6,Jaxon Smith-Njigba,7600,WR,24.28%,33.2
6,Kyren Williams,6300,RB,22.47%,16.7
6,Emeka Egbuka,7200,WR,20.52%,4.4
6,Tetairoa McMillan,6000,WR,20.37%,17.9
6,Ladd McConkey,5700,WR,19.07%,26.0
6,Jonathan Taylor,8500,RB,18.59%,26.7
6,Jake Ferguson,5300,TE,18.43%,12.3
6,Ashton Jeanty,6900,RB,17.55%,16.6
6,Keenan Allen,5600,WR,17.14%,6.7
6,Chris Olave,5100,WR,16.94%,15.8
6,Stefon Diggs,5800,WR,16.15%,5.8
6,Tyler Warren,4900,TE,13.32%,18.3
6,Tucker Kraft,4700,TE,12.48%,12.3
6,Jaylen Waddle,6100,WR,11.91%,15.82
6,Drake Maye,5900,QB,11.51%,27.24
6,Michael Pittman Jr.,5400,WR,10.90%,4.0
6,Steelers,3600,DST,10.57%,10.0
6,Packers,3700,DST,10.24%,2.0
6,Colts,3300,DST,10.24%,4.0
6,Titans,2400,DST,10.07%,5.0
6,Raiders,3200,DST,10.05%,16.0
6,Justin Herbert,6300,QB,9.87%,18.76
6,Dolphins,2200,DST,9.66%,2.0
6,George Pickens,6800,WR,9.59%,34.8
6,Trevor Lawrence,5100,QB,9.52%,19.22
6,Quinshon Judkins,5900,RB,9.21%,3.6
6,Browns,2500,DST,9.04%,0.0
6,Davante Adams,6700,FLEX,9.01%,7.9
6,Bryce Young,4800,QB,8.70%,19.46
6,Brian Thomas Jr.,6200,WR,8.24%,23.0
6,DK Metcalf,5500,WR,8.16%,19.5
6,Hunter Long,2500,TE,8.13%,3.9
6,Trey McBride,5500,FLEX,8.00%,21.2
6,Baker Mayfield,6600,QB,7.99%,19.64
6,Sterling Shepard,3800,WR,7.89%,7.1
6,Saints,2400,DST,7.81%,1.0
6,Daniel Jones,6000,QB,7.76%,23.48
6,De'Von Achane,7800,RB,7.71%,34.0
6,Hunter Henry,4300,FLEX,7.57%,5.7
6,Darren Waller,4000,TE,7.51%,9.2
6,Ryan Flournoy,3600,FLEX,7.45%,6.3
6,Jauan Jennings,4800,WR,7.35%,1.7
